id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
18499307,Rental unit in New Orleans · ★4.80 · 2 bedrooms · 3 beds · 1 bath,51559567,Robert,,Gentilly Terrace,29.9912,-90.05742,Entire home/apt,145,2,89,2023-07-03,1.25,1,358,18,"19STR-23416, 19-OSTR-00000"
18521083,Home in New Orleans · ★4.92 · 2 bedrooms · 2 beds · 1 bath,128564237,Kelly,,Marigny,29.96531,-90.06186,Entire home/apt,211,3,24,2023-07-07,0.32,2,257,11,"21RSTR-12360, 20-OSTR-02174"
18544552,Home in New Orleans · ★4.84 · 1 bedroom · 1 bed · 1 private bath,2400926,Kelly,,Seventh Ward,29.98554,-90.06856,Private room,55,30,130,2023-05-08,1.74,1,1,18,"17STR-15122, 17-OSTR-15122"
18593802,Condo in New Orleans · ★4.90 · 5 bedrooms · 6 beds · 3.5 baths,11336973,Sydney,,Touro,29.92163,-90.10053,Entire home/apt,557,2,31,2023-06-26,1.92,1,339,22,"21-rstr-07042, 21-ostr-03921"
18607917,Rental unit in New Orleans · ★4.66 · 2 bedrooms · 2 beds · 1 bath,51541620,Samuel,,Freret,29.935,-90.10669,Entire home/apt,114,1,223,2023-08-19,2.92,16,97,36,"20-CSTR-31255, 22-OSTR-13685"
18608316,Rental unit in New Orleans · ★4.76 · 1 bedroom · 1 bed · 1 bath,51541620,Samuel,,Lower Garden District,29.93276,-90.07282,Entire home/apt,83,1,246,2023-07-28,3.21,16,88,53,"20-CSTR-31266, 22-OSTR-13685"
18627753,Rental unit in New Orleans · ★4.65 · 1 bedroom · 2 beds · 1 bath,97320777,Dominique,,East Riverside,29.91857,-90.09108,Entire home/apt,77,1,98,2023-04-29,1.51,5,170,3,"22-rstr-16072, 22-ostr-17828"
18636606,Home in New Orleans · ★4.95 · 3 bedrooms · 5 beds · 2 baths,129484659,Jenika,,Leonidas,29.94438,-90.13748,Entire home/apt,266,2,127,2023-07-03,1.68,1,173,14,"20-RSTR-32392, 20-OSTR-00843"
18649856,Rental unit in New Orleans · ★4.91 · 1 bedroom · 1 bed · 1 bath,129591056,Alicia,,Bywater,29.96294,-90.04223,Entire home/apt,135,2,66,2023-07-04,0.92,1,179,14,"17str-05845, 20-ostr-2142"
18668017,Rental unit in New Orleans · ★4.31 · 1 bedroom · 2 beds · 1 bath,107777209,Sidney,,Marigny,29.96748,-90.0534,Entire home/apt,62,2,165,2023-07-29,2.20,1,195,26,"19str-23566, 19-OSTR-0000"
